""	"LABNR"	"SITE"	"LATITUDE"	"LONGITUDE"	"CALAGE"	"REFERENCE"	"MAINCOLOR"
"17734"	"GrN-12665"	"Cuina Turcului"	44.5929	22.2575	13820	"Borić  2011"	"#FF0000"
"17186"	"Hd-13344/13211"	"Öküzini"	37.06	30.56	13790	"--"	"#FF0100"
"17181"	"ETH-8030"	"Öküzini"	37.06	30.56	13730	"--"	"#FF0100"
"8846"	"OxA-2975"	"Hayonim Terrace"	32.92	35.22	13620	"Housley 1994"	"#FF0100"
"656"	"KIK-1362 / NZA-11018"	"nd"	51.2553	4.1883	13600	"Van Strydonck e.a., 2002"	"#FF0100"
"658"	"KIK-1364 / NZA-11021"	"nd"	51.2553	4.1883	13580	"Van Strydonck e.a., 2002"	"#FF0100"
"17183"	"ETH-8032"	"Öküzini"	37.06	30.56	13570	"--"	"#FF0100"
"8847"	"OxA-2977"	"Hayonim Terrace"	32.92	35.22	13560	"Housley 1994"	"#FF0100"
"657"	"KIK-1363 / NZA-11019"	"nd"	51.2553	4.1883	13520	"Van Strydonck e.a., 2002"	"#FF0100"
"17188"	"Hd-13347/13341"	"Öküzini"	37.06	30.56	13400	"--"	"#FF0100"
"8844"	"OxA-2572"	"Hayonim Terrace"	32.92	35.22	13300	"Housley 1994"	"#FF0200"
"17191"	"Lv-1895"	"Öküzini"	37.06	30.56	13280	"Otte et al. 1995, 934"	"#FF0200"
"8048"	"GX-689"	"Ali Tappeh"	36.68	53.55	13270	"McBurney 1968, 395-396"	"#FF0200"
"668"	"KIK-1453 / NZA-11521"	"nd"	51.2162	4.1279	13260	"Van Strydonck e.a., 2002"	"#FF0200"
"8969"	"Ly-1662"	"Mallaha"	33.13	35.58	13260	"Bar-Yosef and Valla 1978, Bar-Yosef and Valla 1979, Weinstein 1984"	"#FF0200"
"8052"	"GX-695"	"Ali Tappeh"	36.68	53.55	13220	"McBurney 1968, 395-396"	"#FF0200"
"722"	"Lv-474"	"nd"	50.9202	4.7689	13180	"Gilot, 1997; Gilot, 1971a; Mullenders e.a., 1972; Vermeersch, 1972"	"#FF0200"
"8055"	"GX-700"	"Ali Tappeh"	36.68	53.55	13120	"McBurney 1968, 395-396"	"#FF0200"
"17004"	"Hd-10028/10227"	"Karain B"	37.06	30.55	13090	"--"	"#FF0200"
"8841"	"OxA-2569"	"Hayonim Terrace"	32.92	35.22	13070	"Housley 1994"	"#FF0200"
"1692"	"UCLA-194"	"Akrotiri-Aetokremnos"	34.5733	33	13050	"Simmons 1991, 864"	"#FF0200"
"7896"	"Gd-4469"	"Nemrik 9"	36.72	42.88	12960	"Kozłowski 1994a, 261"	"#FF0300"
"7899"	"Gd-4477"	"Nemrik 9"	36.72	42.88	12950	"Kozłowski 1994a, 261"	"#FF0300"
"15274"	"OxA-468"	"Abu Hureyra"	35.87	38.4	12950	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994, Schyle 1996"	"#FF0300"
"15262"	"OxA-387"	"Abu Hureyra"	35.87	38.4	12940	"Moore et al. 1986, Gowlett and Hedges 1987, Housley 1994, Schyle 1996"	"#FF0300"
"1665"	"Beta-28795"	"Akrotiri-Aetokremnos"	34.5733	33	12910	"Manning 1991, Simmons 1991, Simmons and Wiegand 1994"	"#FF0300"
"15267"	"OxA-430"	"Abu Hureyra"	35.87	38.4	12910	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994, Schyle 1996"	"#FF0300"
"1679"	"Pta-3112"	"Akrotiri-Aetokremnos"	34.5733	33	12880	"Simmons 1991, 864"	"#FF0300"
"1682"	"Pta-3322"	"Akrotiri-Aetokremnos"	34.5733	33	12870	"Simmons 1991, 864"	"#FF0300"
"12989"	"Gif-95562"	"Cova del Parco"	41.7348	1.0095	12850	"Kiel DB 4241"	"#FF0300"
"15275"	"OxA-469"	"Abu Hureyra"	35.87	38.4	12850	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994, Schyle 1996"	"#FF0300"
"15280"	"OxA-474"	"Abu Hureyra"	35.87	38.4	12850	"Moore et al. 1986, Gowlett and Hedges 1987, Housley 1994, Schyle 1996"	"#FF0300"
"683"	"KIK-528 / UtC-4197"	"nd"	51.2202	4.2822	12840	"Van Strydonck e.a., 1998"	"#FF0300"
"7862"	"Gd-2714"	"Nemrik 9"	36.72	42.88	12840	"Pazdur 1992, 116"	"#FF0300"
"15978"	"Gd-12798"	"Tell Qaramel"	36.3778	37.275	12830	"Mazurowski et al. 2009"	"#FF0300"
"15251"	"OxA-172"	"Abu Hureyra"	35.87	38.4	12820	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994, Schyle 1996"	"#FF0300"
"15276"	"OxA-470"	"Abu Hureyra"	35.87	38.4	12750	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Schyle 1996"	"#FF0400"
"1684"	"SMU-1991"	"Akrotiri-Aetokremnos"	34.5733	33	12740	"Simmons 1991, 864"	"#FF0400"
"12994"	"UBAR-193"	"Cova del Parco"	41.7348	1.0095	12740	"Kiel DB 4246"	"#FF0400"
"1664"	"Beta-22811"	"Akrotiri-Aetokremnos"	34.5733	33	12730	"Manning 1991, Simmons 1991, Simmons and Wiegand 1994"	"#FF0400"
"15261"	"OxA-386"	"Abu Hureyra"	35.87	38.4	12720	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994, Schyle 1996"	"#FF0400"
"15234"	"BM-1121"	"Abu Hureyra"	35.87	38.4	12700	"Burleigh et al. 1982a, Moore et al. 1986, Goring-Morris 1991, Schyle 1996"	"#FF0400"
"1669"	"Beta-40655"	"Akrotiri-Aetokremnos"	34.5733	33	12690	"Manning 1991, Simmons 1991, Simmons and Wiegand 1994"	"#FF0400"
"1671"	"Beta-41002"	"Akrotiri-Aetokremnos"	34.5733	33	12680	"Manning 1991, Simmons 1991, Simmons and Wiegand 1994"	"#FF0400"
"1677"	"Beta-43176"	"Akrotiri-Aetokremnos"	34.5733	33	12680	"Manning 1991, Simmons 1991, Simmons and Wiegand 1994"	"#FF0400"
"12990"	"Gif-95563"	"Cova del Parco"	41.7348	1.0095	12680	"Kiel DB 4242"	"#FF0400"
"9965"	"AA-38279"	"Iraq ed-Dubb"	32.3908	35.7158	12650	"kuijt 2006"	"#FF0400"
"669"	"KIK-1454 / NZA-11520"	"nd"	51.2553	4.1883	12640	"Van Strydonck e.a., 2002"	"#FF0400"
"15278"	"OxA-472"	"Abu Hureyra"	35.87	38.4	12640	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994, Schyle 1996"	"#FF0400"
"15963"	"Gd-11741"	"Tell Qaramel"	36.3778	37.275	12640	"Mazurowski et al. 2009"	"#FF0400"
"9964"	"AA-38278"	"Iraq ed-Dubb"	32.3908	35.7158	12610	"kuijt 2006"	"#FF0400"
"7912"	"Gd-5451"	"Nemrik 9"	36.72	42.88	12600	"Kozłowski 1994a, 261"	"#FF0400"
"9968"	"GX-17399"	"Iraq ed-Dubb"	32.3908	35.7158	12590	"Kuijt 1994"	"#FF0400"
"15991"	"Gd-15679"	"Tell Qaramel"	36.3778	37.275	12580	"Mazurowski et al. 2009"	"#FF0400"
"8054"	"GX-699"	"Ali Tappeh"	36.68	53.55	12560	"McBurney 1968, 395-396"	"#FF0500"
"12914"	"AA-23370"	"Cativera"	41.1867	1.34	12560	"Kiel DB 4321"	"#FF0500"
"15268"	"OxA-431"	"Abu Hureyra"	35.87	38.4	12550	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994, Schyle 1996"	"#FF0500"
"1675"	"Beta-41408"	"Akrotiri-Aetokremnos"	34.5733	33	12530	"Manning 1991, Simmons 1991, Simmons and Wiegand 1994"	"#FF0500"
"7900"	"Gd-4478"	"Nemrik 9"	36.72	42.88	12530	"Kozłowski 1994a, 261"	"#FF0500"
"15979"	"Gd-12799"	"Tell Qaramel"	36.3778	37.275	12520	"Mazurowski et al. 2009"	"#FF0500"
"12996"	"UBAR-410"	"Cova del Parco"	41.7348	1.0095	12510	"Kiel DB 4248"	"#FF0500"
"1668"	"Beta-40382"	"Akrotiri-Aetokremnos"	34.5733	33	12490	"Manning 1991, Simmons 1991, Simmons and Wiegand 1994"	"#FF0500"
"10165"	"RTT-4592"	"Hilazon Tachtit"	32.8692	35.3086	12490	"Grosman, Munro 2007"	"#FF0500"
"15243"	"BM-1723R"	"Abu Hureyra"	35.87	38.4	12490	"Burleigh et al. 1982b, Moore et al. 1986, Goring-Morris 1991, Brami 2011"	"#FF0500"
"12997"	"UBAR-410"	"Cova del Parco"	41.7348	1.0095	12470	"Kiel DB 4249"	"#FF0500"
"15277"	"OxA-471"	"Abu Hureyra"	35.87	38.4	12470	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994, Schyle 1996"	"#FF0500"
"1691"	"UCLA-193"	"Akrotiri-Aetokremnos"	34.5733	33	12450	"Simmons 1991, 863"	"#FF0500"
"8965"	"GifA-100400"	"Mallaha"	33.0828	35.5736	12450	"Bocquentin 2007:67"	"#FF0500"
"15988"	"Gd-15488"	"Tell Qaramel"	36.3778	37.275	12440	"Mazurowski et al. 2009"	"#FF0500"
"8966"	"GifA-99332"	"Mallaha"	33.0828	35.5736	12420	"Bocquentin 2007:67"	"#FF0500"
"15503"	"Lv-605"	"Mureybet"	36.07	38.1	12420	"--"	"#FF0500"
"16848"	"Beta-55052"	"Hallan Cemi"	38.23	41.25	12420	"Rosenberg 1994a, Bar-Yosef and Gopher 1997c, Thissen 2002a"	"#FF0600"
"15249"	"OxA-170"	"Abu Hureyra"	35.87	38.4	12410	"Goring-Morris 1977, Moore et al. 1986, Gowlett and Hedges 1987, Housley 1994, Schyle 1996"	"#FF0600"
"15250"	"OxA-171"	"Abu Hureyra"	35.87	38.4	12410	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994, Schyle 1996"	"#FF0600"
"15970"	"Gd-12515"	"Tell Qaramel"	36.3778	37.275	12400	"Mazurowski et al. 2009"	"#FF0600"
"1673"	"Beta-41406"	"Akrotiri-Aetokremnos"	34.5733	33	12380	"Manning 1991, Simmons 1991, Simmons and Wiegand 1994"	"#FF0600"
"10032"	"Beta-192527"	"Wadi Faynan 16"	30.62	35.5	12340	"Mithen, Finlayson 2007:461"	"#FF0600"
"15271"	"OxA-434"	"Abu Hureyra"	35.87	38.4	12340	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994, Schyle 1996"	"#FF0600"
"15358"	"KIA-11576"	"Baaz"	33.81	36.51	12340	"Conard 2002"	"#FF0600"
"16849"	"Beta-56102"	"Hallan Cemi"	38.23	41.25	12340	"Rosenberg 1994a, Bar-Yosef and Gopher 1997c, Thissen 2002a"	"#FF0600"
"16847"	"Beta-55051"	"Hallan Cemi"	38.23	41.25	12330	"Rosenberg 1994a, Bar-Yosef and Gopher 1997c, Thissen 2002a"	"#FF0600"
"16856"	"Beta-67462"	"Hallan Cemi"	38.23	41.25	12330	"Rosenberg et al. 1995, Thissen 2002a"	"#FF0600"
"15977"	"Gd-12797"	"Tell Qaramel"	36.3778	37.275	12310	"Mazurowski et al. 2009"	"#FF0600"
"17192"	"RT-1441"	"Öküzini"	37.06	30.56	12310	"Otte et al. 1995, 934"	"#FF0600"
"1670"	"Beta-41000"	"Akrotiri-Aetokremnos"	34.5733	33	12300	"Manning 1991, Simmons 1991, Simmons and Wiegand 1994"	"#FF0600"
"7886"	"Gd-4212"	"Nemrik 9"	36.72	42.88	12300	"Pazdur 1992, 116"	"#FF0600"
"8713"	"Pta-3293"	"Abu Salem G 12"	30.53	34.51	12300	"Byrd 1994"	"#FF0600"
"10031"	"Beta-192526"	"Wadi Faynan 16"	30.62	35.5	12300	"Mithen, Finlayson 2007:461"	"#FF0600"
"12988"	"Gif-95543"	"Cova del Parco"	41.7348	1.0095	12290	"Kiel DB 4240"	"#FF0600"
"15263"	"OxA-397"	"Abu Hureyra"	35.87	38.4	12270	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994, Schyle 1996"	"#FF0600"
"15272"	"OxA-435"	"Abu Hureyra"	35.87	38.4	12260	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994, Schyle 1996"	"#FF0600"
"15504"	"Lv-606"	"Mureybet"	36.07	38.1	12250	"--"	"#FF0600"
"9054"	"Pta-3284"	"Ramat Harif G 8"	30.53	34.53	12240	"--"	"#FF0600"
"6849"	"I-6139"	"Franchthi Cave"	37.4333	23.1333	12230	"--"	"#FF0700"
"12913"	"AA-23369"	"Cativera"	41.1867	1.34	12230	"Kiel DB 4320"	"#FF0700"
"10030"	"Beta-192525"	"Wadi Faynan 16"	30.62	35.5	12220	"Mithen, Finlayson 2007:461"	"#FF0700"
"16005"	"Gd-30062"	"Tell Qaramel"	36.3778	37.275	12220	"Mazurowski et al. 2009"	"#FF0700"
"10034"	"Beta-192530"	"Wadi Faynan 16"	30.62	35.5	12210	"Mithen, Finlayson 2007:461"	"#FF0700"
"15967"	"Gd-12506"	"Tell Qaramel"	36.3778	37.275	12210	"Mazurowski et al. 2009"	"#FF0700"
"8710"	"Pta-3290"	"Abu Salem G 12"	30.53	34.51	12190	"Byrd 1994"	"#FF0700"
"15966"	"Gd-12504"	"Tell Qaramel"	36.3778	37.275	12180	"Mazurowski et al. 2009"	"#FF0700"
"1674"	"Beta-41407"	"Akrotiri-Aetokremnos"	34.5733	33	12170	"Manning 1991, Simmons 1991, Simmons and Wiegand 1994"	"#FF0700"
"7875"	"Gd-2973"	"Nemrik 9"	36.72	42.88	12170	"Kozłowski 1994a, 261"	"#FF0700"
"8049"	"GX-691"	"Ali Tappeh"	36.68	53.55	12160	"McBurney 1968, 395-396"	"#FF0700"
"8061"	"C-524"	"Belt"	36.65	53.28	12150	"Libby 1955, 84"	"#FF0700"
"15515"	"Mc-675"	"Mureybet"	36.08	38.1	12140	"Cauvin, J. 1977, Goring-Morris 1991, Schyle 1996"	"#FF0700"
"15992"	"Gd-15680"	"Tell Qaramel"	36.3778	37.275	12140	"Mazurowski et al. 2009"	"#FF0700"
"16855"	"Beta-66858"	"Hallan Cemi"	38.23	41.25	12130	"Rosenberg et al. 1995, Thissen 2002a"	"#FF0700"
"9068"	"SMU-90"	"Rosh Horesha"	30.5	34.58	12120	"Goring-Morris 1991"	"#FF0700"
"7873"	"Gd-2971"	"Nemrik 9"	36.72	42.88	12110	"Kozłowski 1994a, 261"	"#FF0700"
"16001"	"Gd-30005"	"Tell Qaramel"	36.3778	37.275	12110	"Mazurowski et al. 2009"	"#FF0700"
"8709"	"Pta-3289"	"Abu Salem G 12"	30.53	34.51	12100	"Byrd 1994"	"#FF0700"
"9052"	"Pta-3001"	"Ramat Harif G 8"	30.53	34.53	12100	"--"	"#FF0700"
"15969"	"Gd-12514"	"Tell Qaramel"	36.3778	37.275	12100	"Mazurowski et al. 2009"	"#FF0700"
"15962"	"Gd-11673"	"Tell Qaramel"	36.3778	37.275	12070	"Mazurowski et al. 2009"	"#FF0700"
"7898"	"Gd-4475"	"Nemrik 9"	36.72	42.88	12030	"Kozłowski 1994a, 261"	"#FF0700"
"12848"	"Gif-95617"	"Balma del Gai"	41.81	2.1	12030	"Kiel DB "	"#FF0800"
"15993"	"Gd-15681"	"Tell Qaramel"	36.3778	37.275	12030	"Mazurowski et al. 2009"	"#FF0800"
"6893"	"P-2231"	"Franchthi Cave"	37.4333	23.1333	12020	"--"	"#FF0800"
"7853"	"Gd-6149"	"M'lefaat"	36.3	43.53	12020	"Kozłowski 1994a, 262"	"#FF0800"
"8904"	"BM-106"	"Jericho"	31.86	35.47	12020	"Barker and Mackey 1963, Burleigh 1981, Burleigh 1983, Schyle 1996"	"#FF0800"
"16006"	"Gd-30070"	"Tell Qaramel"	36.3778	37.275	12010	"Mazurowski et al. 2009"	"#FF0800"
"9057"	"Pta-3288"	"Ramat Harif G 8"	30.53	34.53	12000	"--"	"#FF0800"
"15973"	"Gd-12639"	"Tell Qaramel"	36.3778	37.275	12000	"Mazurowski et al. 2009"	"#FF0800"
"15965"	"Gd-12503"	"Tell Qaramel"	36.3778	37.275	11990	"Mazurowski et al. 2009"	"#FF0800"
"7885"	"Gd-4211"	"Nemrik 9"	36.72	42.88	11980	"Pazdur 1992, 116"	"#FF0800"
"15266"	"OxA-408"	"Abu Hureyra"	35.87	38.4	11970	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994, Schyle 1996"	"#FF0800"
"17011"	"Hv-14373"	"Karain B"	37.06	30.55	11960	"--"	"#FF0800"
"8050"	"GX-693"	"Ali Tappeh"	36.68	53.55	11950	"McBurney 1968, 395-396"	"#FF0800"
"8903"	"BM-105"	"Jericho"	31.86	35.47	11950	"Barker and Mackey 1963, Burleigh 1981, Burleigh 1983, Schyle 1996"	"#FF0800"
"15990"	"Gd-15676"	"Tell Qaramel"	36.3778	37.275	11950	"Mazurowski et al. 2009"	"#FF0800"
"8706"	"I-5499"	"Abu Salem G 12"	30.53	34.51	11940	"Byrd 1994"	"#FF0800"
"8707"	"I-5500"	"Abu Salem G 12"	30.53	34.51	11940	"Byrd 1994"	"#FF0800"
"9765"	"Beta-19905"	"Ain Ghazal"	31.93	35.93	11940	"Rollefson et al. 1992, 445"	"#FF0800"
"12998"	"UBAR-411"	"Cova del Parco"	41.7348	1.0095	11940	"Kiel DB 4250"	"#FF0800"
"15999"	"Gd-18038"	"Tell Qaramel"	36.3778	37.275	11940	"Mazurowski et al. 2009"	"#FF0800"
"15516"	"Mc-731"	"Mureybet"	36.08	38.1	11930	"Cauvin, J. 1977, Goring-Morris 1991, Schyle 1996"	"#FF0800"
"15517"	"Mc-732"	"Mureybet"	36.08	38.1	11930	"Cauvin, J. 1977, Goring-Morris 1991, Schyle 1996"	"#FF0800"
"10022"	"Beta-120210"	"Wadi Faynan 16"	30.62	35.5	11920	"Pirie 2002, 5"	"#FF0800"
"10025"	"Beta-135111"	"Wadi Faynan 16"	30.62	35.5	11920	"Pirie 2001"	"#FF0800"
"15987"	"Gd-15486"	"Tell Qaramel"	36.3778	37.275	11920	"Mazurowski et al. 2009"	"#FF0800"
"15528"	"P-1217"	"Mureybet"	36.07	38.1	11910	"--"	"#FF0800"
"8937"	"BM-250"	"Jericho"	31.86	35.46	11900	"--"	"#FF0800"
"1672"	"Beta-41405"	"Akrotiri-Aetokremnos"	34.5733	33	11870	"Simmons 1991, Simmons and Wiegand 1994"	"#FF0800"
"12995"	"UBAR-409"	"Cova del Parco"	41.7348	1.0095	11870	"Kiel DB 4247"	"#FF0800"
"7884"	"Gd-4210"	"Nemrik 9"	36.72	42.88	11850	"Pazdur 1992, 116"	"#FF0900"
"8905"	"BM-110"	"Jericho"	31.86	35.47	11850	"Barker and Mackey 1963, Burleigh 1981, Burleigh 1983, Schyle 1996"	"#FF0900"
"12985"	"AA-13410"	"Cova del Parco"	41.7348	1.0095	11850	"Kiel DB 4234"	"#FF0900"
"12986"	"AA-14310"	"Cova del Parco"	41.7348	1.0095	11850	"Kiel DB 4235"	"#FF0900"
"15996"	"Gd-17249"	"Tell Qaramel"	36.3778	37.275	11850	"Mazurowski et al. 2009"	"#FF0900"
"15513"	"Mc-635"	"Mureybet"	36.08	38.1	11840	"Cauvin, J. 1977, Schyle 1996"	"#FF0900"
"7865"	"Gd-2777"	"Nemrik 9"	36.72	42.88	11820	"Pazdur 1992, 116"	"#FF0900"
"10029"	"Beta-192524"	"Wadi Faynan 16"	30.62	35.5	11820	"Mithen, Finlayson 2007:461"	"#FF0900"
"15961"	"Gd-11627"	"Tell Qaramel"	36.3778	37.275	11820	"Mazurowski et al. 2009"	"#FF0900"
"15981"	"Gd-12811"	"Tell Qaramel"	36.3778	37.275	11820	"Mazurowski et al. 2009"	"#FF0900"
"7916"	"Gd-6111"	"Nemrik 9"	36.72	42.88	11770	"Kozłowski 1994a, 261"	"#FF0900"
"17731"	"Bln-802"	"Cuina Turcului"	44.5929	22.2575	11770	"Borić  2011"	"#FF0900"
"1686"	"Tx-5833B"	"Akrotiri-Aetokremnos"	34.5733	33	11760	"Simmons 1991, 863"	"#FF0900"
"1693"	"UCLA-203"	"Akrotiri-Aetokremnos"	34.5733	33	11740	"Simmons and Wiegand 1994, 248"	"#FF0900"
"8711"	"Pta-3291"	"Abu Salem G 12"	30.53	34.51	11740	"Byrd 1994"	"#FF0900"
"15964"	"Gd-12502"	"Tell Qaramel"	36.3778	37.275	11740	"Mazurowski et al. 2009"	"#FF0900"
"8845"	"OxA-2573"	"Hayonim Terrace"	32.92	35.22	11710	"Housley 1994"	"#FF0900"
"7952"	"OxA-3756"	"Qermez Dere"	36.37	42.45	11700	"--"	"#FF0900"
"15514"	"Mc-674"	"Mureybet"	36.08	38.1	11700	"Cauvin, J. 1977, Schyle 1996"	"#FF0900"
"7882"	"Gd-4208"	"Nemrik 9"	36.72	42.88	11690	"Pazdur 1992, 116"	"#FF0900"
"9056"	"Pta-3286"	"Ramat Harif G 8"	30.53	34.53	11680	"--"	"#FF0900"
"15997"	"Gd-18035"	"Tell Qaramel"	36.3778	37.275	11680	"Mazurowski et al. 2009"	"#FF0900"
"15527"	"P-1216"	"Mureybet"	36.08	38.1	11670	"Stuckenrath and Lawn 1969, Cauvin, J. 1978a, Moore et al. 1986"	"#FF0900"
"15265"	"OxA-407"	"Abu Hureyra"	35.86	38.4	11660	"--"	"#FF0900"
"15976"	"Gd-12652"	"Tell Qaramel"	36.3778	37.275	11660	"Mazurowski et al. 2009"	"#FF0900"
"7872"	"Gd-2970"	"Nemrik 9"	36.72	42.88	11650	"Kozłowski 1994a, 261"	"#FF0900"
"16552"	"GrN-19481"	"Cayönü"	38.21	39.72	11650	"Bıçakçı 1998, 138"	"#FF0A00"
"15975"	"Gd-12651"	"Tell Qaramel"	36.3778	37.275	11640	"Mazurowski et al. 2009"	"#FF0A00"
"15994"	"Gd-16285"	"Tell Qaramel"	36.3778	37.275	11640	"Mazurowski et al. 2009"	"#FF0A00"
"16840"	"Beta-46647"	"Hallan Cemi"	38.23	41.25	11640	"Rosenberg and Davis 1992, Kuijt and Bar-Yosef 1994, Rosenberg 1994a, Thissen 2002a"	"#FF0A00"
"12852"	"Mc-2141"	"Balma del Gai"	41.81	2.1	11630	"Kiel DB 4134"	"#FF0A00"
"16842"	"Beta-47211"	"Hallan Cemi"	38.23	41.25	11630	"Rosenberg and Davis 1992, Kuijt and Bar-Yosef 1994, Rosenberg 1994a, Thissen 2002a"	"#FF0A00"
"16862"	"OxA-12329"	"Hallan Cemi"	38.23	41.25	11630	"Higham 2007"	"#FF0A00"
"15518"	"Mc-733"	"Mureybet"	36.08	38.1	11620	"Cauvin, J. 1977, Goring-Morris 1991, Schyle 1996, Banadora"	"#FF0A00"
"7883"	"Gd-4209"	"Nemrik 9"	36.72	42.88	11610	"Pazdur 1992, 116"	"#FF0A00"
"8837"	"GifA-91360"	"Hatoula"	31.81	34.98	11610	"--"	"#FF0A00"
"15998"	"Gd-18036"	"Tell Qaramel"	36.3778	37.275	11610	"Mazurowski et al. 2009"	"#FF0A00"
"16853"	"Beta-66855"	"Hallan Cemi"	38.23	41.25	11610	"Rosenberg et al. 1995, Thissen 2002a"	"#FF0A00"
"15279"	"OxA-473"	"Abu Hureyra"	35.87	38.4	11600	"Moore et al. 1986, Gowlett and Hedges 1987, Goring-Morris 1991, Housley 1994, Schyle 1996"	"#FF0A00"
"17021"	"ETH-38851"	"Körtik Tepe"	37.8144	40.9838	11600	"Benz 2012"	"#FF0A00"
"17019"	"ETH-38849"	"Körtik Tepe"	37.8144	40.9838	11590	"Benz 2012"	"#FF0A00"
"16845"	"Beta-55049"	"Hallan Cemi"	38.23	41.25	11580	"Rosenberg 1994a, Bar-Yosef and Gopher 1997c, Thissen 2002a"	"#FF0A00"
"1663"	"AA-79923"	"Akrotiri-Aetokremnos"	34.5733	33	11570	"Vigne 2012"	"#FF0A00"
"7915"	"Gd-6110"	"Nemrik 9"	36.72	42.88	11560	"Kozłowski 1994a, 261"	"#FF0A00"
"7926"	"Gd-6143"	"Nemrik 9"	36.72	42.88	11560	"Kozłowski 1994a, 261"	"#FF0A00"
"8809"	"Pta-4553"	"Gesher"	32.65	35.51	11560	"--"	"#FF0A00"
"16866"	"OxA-12333"	"Hallan Cemi"	38.23	41.25	11560	"Higham 2007"	"#FF0A00"
"17025"	"ETH-38855"	"Körtik Tepe"	37.8144	40.9838	11550	"Benz 2012"	"#FF0B00"
"7906"	"Gd-5257"	"Nemrik 9"	36.72	42.88	11540	"Pazdur 1992, 116"	"#FF0B00"
"8705"	"I-5498"	"Abu Salem G 12"	30.53	34.51	11540	"Byrd 1994"	"#FF0B00"
"15968"	"Gd-12510"	"Tell Qaramel"	36.3778	37.275	11540	"Mazurowski et al. 2009"	"#FF0B00"
"16000"	"Gd-30004"	"Tell Qaramel"	36.3778	37.275	11540	"Mazurowski et al. 2009"	"#FF0B00"
"17020"	"ETH-38850"	"Körtik Tepe"	37.8144	40.9838	11540	"Benz 2012"	"#FF0B00"
"8839"	"OxA-1899"	"Hayonim Terrace"	32.92	35.22	11530	"Housley 1994"	"#FF0B00"
"15526"	"P-1215"	"Mureybet"	36.07	38.1	11530	"--"	"#FF0B00"
"9872"	"ISGS-3278"	"Dhra"	31.26	35.58	11520	"--"	"#FF0B00"
"701"	"Lv-1081"	"nd"	50.8134	5.6742	11510	"Gilot, 1997; de Heinzelin e.a., 1984"	"#FF0B00"
"7889"	"Gd-4224"	"Nemrik 9"	36.72	42.88	11510	"Pazdur 1992, 116"	"#FF0B00"
"12827"	"AA-13412"	"Abric del Filador"	41.28	0.75	11510	"Kiel DB 4098"	"#FF0B00"
"15519"	"Mc-734"	"Mureybet"	36.07	38.1	11510	"--"	"#FF0B00"
"15529"	"P-1220"	"Mureybet"	36.07	38.1	11510	"Stuckenrath and Lawn 1969, 152"	"#FF0B00"
"16858"	"Beta-67464"	"Hallan Cemi"	38.23	41.25	11510	"Rosenberg et al. 1995, Thissen 2002a"	"#FF0B00"
"16860"	"OxA-12299"	"Hallan Cemi"	38.23	41.25	11510	"Higham 2007"	"#FF0B00"
"16869"	"OxA-12336"	"Hallan Cemi"	38.23	41.25	11510	"Higham 2007"	"#FF0B00"
"17667"	"OxA-3808"	"Vasilyevka III"	49	35	11510	"Gehlen 2010"	"#FF0B00"
"9869"	"AA-38144"	"Dhra"	31.27	35.58	11500	"Kuijt and Finlayson 2001"	"#FF0B00"
"17023"	"ETH-38853"	"Körtik Tepe"	37.8144	40.9838	11500	"Benz 2012"	"#FF0B00"
"9870"	"ISGS-2898"	"Dhra"	31.26	35.58	11490	"--"	"#FF0C00"
"9969"	"OxA-17077"	"Iraq ed-Dubb"	32.3908	35.7158	11480	"Kuijt 2006"	"#FF0C00"
"15984"	"Gd-12819"	"Tell Qaramel"	36.3778	37.275	11480	"Mazurowski et al. 2009"	"#FF0C00"
"17024"	"ETH-38854"	"Körtik Tepe"	37.8144	40.9838	11480	"Benz 2012"	"#FF0C00"
"7913"	"Gd-5595"	"Nemrik 9"	36.72	42.88	11470	"Kozłowski 1994a, 262"	"#FF0C00"
"9868"	"AA-38143"	"Dhra"	31.27	35.58	11470	"Kuijt and Finlayson 2001"	"#FF0C00"
"9970"	"OxA-2567"	"Iraq ed-Dubb"	32.38	35.72	11470	"--"	"#FF0C00"
"15488"	"Ly-2334"	"Jerf el Ahmar"	36.39	38.2	11470	"Marion"	"#FF0C00"
"16015"	"GdS-364"	"Tell Qaramel"	36.3778	37.275	11470	"Mazurowski et al. 2009"	"#FF0C00"
